Age,MonthlyIncome,PreferredTenure_Yeras,Purpose,EmploymentStatus,Education,MaritalStatus,Gender,PreviousLoans,ExistingEMIs,Expenses,RepaymentCapacity,LoanType,LoanAmount
38,62539,2,Medical,Salaried,Diploma,Single,Female,1,9458,15635,37446,MedicalLoan,228276
24,54219,5,DebtConsolidation,Salaried,HighSchool,Divorced,Male,0,5557,28497,20165,DebtConsolidationLoan,307528
42,37915,5,DebtConsolidation,Self-Employed,HighSchool,Married,Female,1,982,21001,15932,DebtConsolidationLoan,348646
44,43401,4,Travel,Self-Employed,HighSchool,Married,Male,0,1135,27616,14650,TravelLoan,183412
21,53364,7,Auto,Salaried,Diploma,Divorced,Female,2,7227,31282,14855,AutoLoan,228927
21,88653,10,Home,Salaried,HighSchool,Single,Female,1,11436,33137,44080,HomeLoan,1274423
36,99413,5,Personal,Salaried,Masters,Married,Male,0,9997,82902,6514,PersonalLoan,99484
31,33389,2,Personal,Retired,HighSchool,Single,Male,0,2663,17323,13403,PersonalLoan,135731
34,39958,13,Business,Retired,Diploma,Single,Male,0,4364,12850,22744,BusinessLoan,922137
26,78653,7,Auto,Salaried,Masters,Single,Female,0,7667,26395,44591,AutoLoan,1363852
43,57460,3,DebtConsolidation,Salaried,HighSchool,Married,Male,4,11196,20239,26025,DebtConsolidationLoan,362506
42,98127,6,Education,Salaried,Bachelors,Married,Female,0,9960,61463,26704,EducationLoan,516971
35,68908,5,Personal,Salaried,Masters,Single,Male,0,3728,29445,35735,PersonalLoan,642252
46,21994,4,Travel,Retired,Bachelors,Married,Female,1,2980,10028,8986,TravelLoan,143222
39,36288,6,Personal,Salaried,HighSchool,Single,Female,0,1674,15081,19533,PersonalLoan,503959
26,75134,2,Medical,Salaried,Bachelors,Single,Male,1,9730,30049,35355,MedicalLoan,243162
38,78878,1,Medical,Salaried,Bachelors,Single,Male,1,10137,38458,30283,MedicalLoan,155413
25,70366,4,Medical,Salaried,Diploma,Married,Female,1,6899,27130,36337,MedicalLoan,412749
43,3000,4,Travel,Unemployed,HighSchool,Married,Male,0,316,1299,1385,TravelLoan,20650
34,3000,2,Personal,Self-Employed,HighSchool,Single,Female,0,425,1580,995,PersonalLoan,10658
